id,fin_year,month,state_code,state_name,district_code,district_name,report_date,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
323,2023-2024,Sep,31,UTTAR PRADESH,3125,BAREILLY,2023-09-01,2517901,224.768551745777,28,943,1549.519952325,6688,3,35689,2517790,521971,68116,1752,165,107.67066,7316.390731325,88199,106830,215402,300856,501,259353,359260,42377,5659.200119,617555,46,42.07,17.75,101.58,
324,2023-2024,Sep,31,UTTAR PRADESH,3129,SITAPUR,2023-09-01,6951290,225.800871523457,39,823,8683.924149534,14931,4,77225,6951230,2380606,247685,5094,383,277.01922,24656.881291134,174105,217568,418237,601740,2186,557088,793038,92156,15695.9379216,2408741,61,27.32,22.56,103.06,
325,2023-2024,Sep,31,UTTAR PRADESH,3131,UNNAO,2023-09-01,2628635,220.14460697229,38,171,1744.371028372,6163,0,31917,2625909,866125,86523,2979,382,107.88175,7633.049825872,67507,74998,179405,226044,838,240402,305897,38080,5780.7970475,963735,46,25.24,39.05,104.29,
326,2023-2024,Sep,31,UTTAR PRADESH,3143,FATEHPUR,2023-09-01,3317479,219.027638972082,40,325,2730.207343256,6801,7,47491,3317267,1066134,91426,1747,96,200.92347,10196.862401756,81981,91388,184698,231093,816,243677,310545,54292,7265.7315885,1593283,69,29.61,12.25,100.42,
327,2023-2024,Sep,31,UTTAR PRADESH,3145,PRAYAGRAJ,2023-09-01,4799377,214.812884285941,41,251,5158.5958752,15282,3,65694,4795960,1851368,198110,2306,190,223.26975,15684.2056304,115747,142518,299056,420700,1766,406867,573708,80976,10302.3400052,2477386,65,21.12,24.13,101.85,
328,2023-2024,Sep,31,UTTAR PRADESH,3146,BAHRAICH,2023-09-01,7879854,222.14933884694,47,204,4715.113165363,15934,9,76578,7878448,1545631,85774,50926,2325,388.99643,22606.029738763,165440,191993,299774,373736,7554,373534,478104,92512,17501.9201434,3655048,66,29.24,14.15,100.93,
329,2023-2024,Sep,31,UTTAR PRADESH,3150,SULTANPUR,2023-09-01,5030027,218.712487846954,46,249,6192.141821206,8004,5,50079,5030426,1206536,74734,10064,446,192.32458,17386.636255106,109111,117906,220480,258272,1691,273586,321945,58083,11002.1698539,2637765,63,24.13,19.09,103.29,
330,2023-2024,Sep,31,UTTAR PRADESH,3154,GORAKHPUR,2023-09-01,4570863,224.251292896453,43,141,5216.30455577,5774,6,38600,4570745,1554625,100662,6712,366,210.07874,15676.33805327,105633,115296,236416,289199,1778,320271,384006,44374,10249.9547575,2160811,41,27.11,39.2,100.03,
331,2023-2024,Sep,31,UTTAR PRADESH,3158,JAUNPUR,2023-09-01,7918893,215.619456097709,42,284,7059.07865753,9055,13,76940,7915760,2735345,140168,514,5,250.93822,24377.93553553,188399,196576,341493,372441,2024,434782,474545,85995,17067.918658,4148534,56,30.41,29.16,100.5,
332,2023-2024,Sep,31,UTTAR PRADESH,3161,VARANASI,2023-09-01,1605562,217.29799219151,34,179,1313.699490364,4087,0,25431,1605432,468881,56506,8417,1044,61.22406,4863.495052364,46056,58654,102754,155979,511,140344,223094,29518,3488.571502,879749,59,24.7,14.75,100.65,
333,2023-2024,Sep,31,UTTAR PRADESH,3162,MIRZAPUR,2023-09-01,2971729,216.275957113451,37,168,3319.594680201,8271,1,31726,2971701,1135210,129208,30895,3233,127.33676,9874.006220501,78995,101735,202027,300957,821,259712,392768,39997,6427.0747803,1497699,56,37.56,14.59,100.3,
334,2023-2024,Sep,31,UTTAR PRADESH,3165,BAGHPAT,2023-09-01,30401,194.714121246012,18,5,61.945750358,10,4,2148,30401,7930,2250,7,13,1.5545,122.695290358,1614,1822,5608,7211,9,16552,22565,2158,59.19504,9637,10,78.91,3.41,109.93,
335,2023-2024,Sep,31,UTTAR PRADESH,3167,AMROHA,2023-09-01,2559862,218.928754763699,37,134,3069.276188514,4259,1,15437,2558936,617593,45184,1333,65,98.88768,8770.410588514,68343,81391,119333,165463,1357,143288,198777,19696,5602.24672,670505,26,36.97,53.61,100.75,
336,2023-2024,Sep,31,UTTAR PRADESH,3174,SANT KABEER NAGAR,2023-09-01,4829434,222.153188831735,41,167,7355.861758793,11414,13,45879,4827536,1601207,84123,4123,215,141.29673,18221.683654793,115377,127162,201894,241293,1559,233655,276571,57293,10724.525166,2709771,57,27.57,31.04,99.99,
337,2023-2024,Sep,31,UTTAR PRADESH,3177,CHITRAKOOT,2023-09-01,1821234,214.641598740264,40,69,2318.932117286,2722,7,24553,1821334,681114,76115,317,30,106.97238,6335.244913286,44457,60251,109531,177402,1303,131337,230814,27275,3909.340416,850898,74,42.07,6.3,99.98,
338,2023-2024,Sep,31,UTTAR PRADESH,3181,AMETHI,2023-09-01,2738927,215.314047294095,38,127,3885.274129838,10021,0,38737,2738862,743283,71865,106,2,140.31959,9922.748341838,70339,82253,168819,228791,621,216486,295816,48758,5897.154622,1172420,61,26.18,21.77,101.49,
339,2023-2024,Sep,31,UTTAR PRADESH,3182,HAPUR,2023-09-01,202568,202.100064704459,37,12,0,249,3,1819,202459,101872,5075,10,7,0,409.16977,5417,5853,10489,11526,80,15800,21193,2068,409.16977,84865,20,37.98,13.66,100.43,
340,2023-2024,Sep,31,UTTAR PRADESH,3116,GHAZIABAD,2023-09-01,1,339.880733944954,8,0,0,0,143,32,109,5,17,0,0,0,0.37047,13,13,40,52,0,14794,24177,32,0.37047,4,31,99.07,0.93,100,
341,2023-2024,Sep,31,UTTAR PRADESH,3117,BULANDSHAHR,2023-09-01,498492,216.503877650196,28,47,804.5416977,1383,10,10785,497982,79124,11277,169,60,9.62408,1892.3161177,17439,18490,51391,57649,187,72543,82351,12168,1078.15034,167057,23,46.06,30.58,101.47,
342,2023-2024,Sep,31,UTTAR PRADESH,3119,MATHURA,2023-09-01,1897726,216.673427944398,35,82,2367.645354978,1902,23,15496,1896924,523622,43590,3125,299,50.60362,6528.379231278,52927,65629,105543,142932,335,130126,185521,17398,4110.1302563,754384,11,50.2,22.92,99.96,
343,2023-2024,Sep,31,UTTAR PRADESH,3124,BUDAUN,2023-09-01,2004281,210.39908746394,31,261,1407.946729161,3321,11,36783,2002551,404569,41531,1786,180,102.03776,5723.333519161,62600,69373,163506,196559,384,211516,259615,40104,4213.34903,582036,49,42.21,13.45,100.82,
344,2023-2024,Sep,31,UTTAR PRADESH,3127,SHAHJAHANPUR,2023-09-01,2378946,218.189282750474,31,411,2755.334592664,3929,1,47406,2378935,667696,85531,1012,97,197.91891,8143.834716264,75667,91382,205794,279617,196,275256,370881,51335,5190.5812136,754831,59,19.42,20.37,101.28,
345,2023-2024,Sep,31,UTTAR PRADESH,3132,LUCKNOW,2023-09-01,858647,216.261487782523,31,120,1419.535196482,1639,5,15589,858647,518348,72859,2496,323,88.24356,3364.701533482,26950,31730,79995,112999,203,126853,198906,17228,1856.922777,301896,36,29.92,16.59,101.52,
346,2023-2024,Sep,31,UTTAR PRADESH,3138,JALAUN,2023-09-01,6702708,214.886010708845,51,596,3607.646250902,7953,1,26842,6700629,1998128,89911,511,11,125.27593,18131.636531402,131033,177535,181519,268649,3532,206384,338227,34795,14398.7143505,2542004,43,20.8,49.56,100.86,
347,2023-2024,Sep,31,UTTAR PRADESH,3141,HAMIRPUR,2023-09-01,2983926,211.032506441658,46,144,2326.240143597,2626,0,23709,2983704,568527,49093,569,60,72.66902,8695.494499597,64345,90271,128804,208787,2163,159584,268281,26335,6296.585336,1279858,59,48.74,19.11,101.28,
348,2023-2024,Sep,31,UTTAR PRADESH,3151,SIDDHARTH NAGAR,2023-09-01,7205287,228.411353402162,40,255,10219.015601594,7019,10,32663,7203875,1669376,83196,231,14,249.50406,26922.988046494,180020,197704,304727,357231,2137,368807,435038,39682,16454.4683849,4021637,23,21.57,30.47,100.05,
349,2023-2024,Sep,31,UTTAR PRADESH,3156,MAU,2023-09-01,3319032,226.803224506414,37,261,4661.723003802,8209,11,21360,3318266,1130783,85065,48157,3242,143.46463,12331.121919502,87757,99288,187953,237813,431,243938,307760,29569,7525.93428570001,1760247,43,26.91,35.91,100.12,
350,2023-2024,Sep,31,UTTAR PRADESH,3157,AZAMGARH,2023-09-01,6025523,221.324841535587,40,282,6311.282982424,17247,14,74586,6024665,2136246,147471,13106,762,289.20748,19934.570726724,149979,160967,325475,376013,769,415196,499033,91833,13334.0802643,3003828,62,18.97,34.73,100.99,
351,2023-2024,Sep,31,UTTAR PRADESH,3172,KUSHI NAGAR,2023-09-01,3294536,225.844577930721,33,388,4782.012655007,9663,5,40790,3294471,836383,84940,21880,2051,199.59143,12421.988210007,99164,118990,230964,313581,292,344405,465996,50453,7440.384125,1367365,42,38.09,13.57,102,
352,2023-2024,Sep,31,UTTAR PRADESH,3176,SHRAVASTI,2023-09-01,2017101,226.017949522607,47,137,1671.778258936,3111,0,16045,2017101,525958,38166,16082,1203,44.26707,6275.055648936,42908,51508,93126,130355,957,114239,162303,19156,4559.01032,853270,47,45.67,18.78,100.4,
353,2023-2024,Sep,31,UTTAR PRADESH,3109,BIJNOR,2023-09-01,2693962,212.327252809919,23,250,2374.216129909,7043,7,24233,2693494,1028591,125358,8995,920,113.30459,8206.542534709,114391,138596,208006,294512,551,250257,366252,31276,5719.0218148,823086,30,44.7,17.32,100.54,
354,2023-2024,Sep,31,UTTAR PRADESH,3114,MUZAFFARNAGAR,2023-09-01,600796,211.939881636936,33,41,456.70699203,746,5,8277,595625,169473,15142,884,118,12.46193,1731.53584203,17793,19806,44626,51181,152,75630,95474,9023,1262.36692,227978,18,36.4,44.79,105.05,
355,2023-2024,Sep,31,UTTAR PRADESH,3123,MAINPURI,2023-09-01,2866349,210.744588718957,40,157,1525.396888164,5050,3,23054,2866118,743819,49556,4342,342,81.51814,7647.103619464,69999,82239,137947,178587,1328,182413,242044,28104,6040.1885913,1037611,41,41.81,18.23,99.95,
356,2023-2024,Sep,31,UTTAR PRADESH,3126,PILIBHIT,2023-09-01,2123576,226.486466613757,29,423,2681.626667158,4984,1,29167,2123105,309865,48376,5057,611,92.31072,7582.482884158,71478,86321,171620,256048,274,211813,307882,34151,4808.545497,874467,54,18.73,19.59,100.24,
357,2023-2024,Sep,31,UTTAR PRADESH,3128,KHERI,2023-09-01,4905105,216.239971168813,36,562,5104.843038325,16352,2,51748,4905105,1604692,184323,71394,8803,189.83926,15901.479936125,132605,160983,342067,479093,1955,449783,620111,68100,10606.7976378,1417306,56,31.79,17.14,100.15,
358,2023-2024,Sep,31,UTTAR PRADESH,3130,HARDOI,2023-09-01,5122450,219.20387135056,39,255,4856.072444856,11166,4,57272,5121608,1705775,121193,6324,470,245.42707,16328.262526256,129846,142138,284911,342916,684,388296,520751,68438,11226.7630114,1347923,46,27.36,23.08,104.08,
359,2023-2024,Sep,31,UTTAR PRADESH,3133,RAE BARELI,2023-09-01,2722378,209.612465679256,32,238,6349.34601105,14523,2,35981,2722406,1187121,168474,1251,246,200.70787,12256.55622345,84324,101792,229018,343860,870,293455,427760,50504,5706.5023424,1239585,44,24.76,20.98,100.5,
360,2023-2024,Sep,31,UTTAR PRADESH,3163,SONBHADRA,2023-09-01,3451545,219.740079659348,37,459,3591.46010436901,8959,2,46404,3452200,1018522,94420,975487,91451,133.72605,11311.053184369,91144,122118,203859,311129,2167,253492,393009,55363,7585.86703,1817024,73,36.04,26.31,100.16,
361,2023-2024,Sep,31,UTTAR PRADESH,3166,HATHRAS,2023-09-01,871102,209.95692871068,30,27,737.258997781,1559,12,10600,870986,283549,27906,928,63,47.95533,2613.909782881,28980,33842,64484,84471,170,75532,101997,12159,1828.6954551,193002,13,64.2,9.12,100.39,
362,2023-2024,Sep,31,UTTAR PRADESH,3170,KAUSHAMBI,2023-09-01,1491224,222.101681383442,35,124,3314.857403664,2736,46,23439,1490023,633886,69197,1380,96,65.51738,6689.740919664,42290,50405,105371,146619,273,132783,182107,26175,3309.366136,729006,63,30.22,42.68,101.37,
363,2023-2024,Sep,31,UTTAR PRADESH,3180,KASHGANJ,2023-09-01,1869215,214.444859660339,34,361,2545.302288503,1911,0,11226,1869215,410322,30405,1950,94,68.9466,6622.684372003,54616,63504,96129,132630,276,110028,151379,13137,4008.4354835,494119,24,46.47,14.1,100.68,
364,2023-2024,Sep,31,UTTAR PRADESH,3183,SHAMLI,2023-09-01,222100,205.025155874771,31,8,63.3073759,314,2,5001,226945,39426,4485,599,48,2.14279,530.7445059,7193,8318,21349,26266,21,42602,53693,5315,465.29434,72887,16,28.17,33.75,99.69,
365,2023-2024,Sep,31,UTTAR PRADESH,3110,MORADABAD,2023-09-01,2102659,222.386177691925,33,157,1864.319095166,2833,3,17509,2057775,405559,38671,1479,132,31.54551,6472.071773166,61531,71961,133265,179225,313,174754,250037,20342,4576.207168,581540,28,58.06,15.15,101.62,
366,2023-2024,Sep,31,UTTAR PRADESH,3121,FIROZABAD,2023-09-01,3031676,212.341756326716,43,145,3357.267166183,3342,8,20060,3041507,839404,32893,2689,131,66.80105,9882.457598783,70473,73837,103492,112936,823,131406,159244,23402,6458.3893826,1265068,31,50.65,19.76,99.84,
367,2023-2024,Sep,31,UTTAR PRADESH,3122,ETAH,2023-09-01,2223269,214.76052454003,41,137,2441.863067177,5090,3,18325,2222919,406369,25792,591,45,81.56741,7297.382981677,53819,60045,99725,124240,875,132373,172354,23415,4773.9525045,782179,36,35.65,28.66,101.67,
368,2023-2024,Sep,31,UTTAR PRADESH,3137,KANPUR NAGAR,2023-09-01,965691,219.220837846903,31,209,471.326766655,2130,0,17991,965976,355160,43104,10350,1128,65.30485,2654.252297255,30744,35567,73463,101641,278,106473,144610,20121,2117.6206806,300682,44,36.72,19.21,102.63,
369,2023-2024,Sep,31,UTTAR PRADESH,3139,JHANSI,2023-09-01,3433634,217.667423234,53,284,2568.884713934,3099,2,27731,3432900,1068999,73408,29318,1747,84.49884,10125.688526134,64753,91043,133107,210463,3252,163716,256905,30830,7472.3049722,1393742,53,32.05,26.65,100.56,
370,2023-2024,Sep,31,UTTAR PRADESH,3140,LALITPUR,2023-09-01,2883553,221.684052684458,39,180,4509.86959471,7795,0,29016,2883469,591248,63645,184906,18982,92.50384,10994.56437181,73481,103198,148109,246301,1798,177694,293030,36811,6392.1909371,1257764,65,27.55,23.84,100.55,
371,2023-2024,Sep,31,UTTAR PRADESH,3142,BANDA,2023-09-01,2580717,215.294259703795,42,82,1421.358971222,7312,2,48088,2580717,498908,68993,87,26,98.38448,7075.879011422,60908,82351,163142,263195,1105,208867,337983,55400,5556.1355602,1314042,82,38.79,15.43,101.32,
372,2023-2024,Sep,31,UTTAR PRADESH,3147,GONDA,2023-09-01,3248287,224.148410530989,40,128,2655.403921519,5900,15,40630,3248242,802796,63475,2633,223,106.5954,10042.882134719,80248,86656,207569,238620,497,299776,368474,46530,7280.8828132,1574764,52,27.05,28.19,100.55,
373,2023-2024,Sep,31,UTTAR PRADESH,3148,BARABANKI,2023-09-01,4850583,224.110155137782,42,300,7508.283319085,11789,1,37802,4850527,1987921,151370,711,60,192.8202,18571.627103785,115213,136015,252156,339399,1744,349236,466517,49591,10870.5235847,1749115,44,21.61,32.55,100.04,
374,2023-2024,Sep,31,UTTAR PRADESH,3149,AYODHYA,2023-09-01,2485802,222.65738060555,36,91,5231.48484447401,8250,0,24605,2485773,894202,93264,3454,360,123.63534,10889.877234074,68758,76631,176829,242655,965,225750,303456,32855,5534.7570496,1193716,39,30.9,26.95,100.45,
375,2023-2024,Sep,31,UTTAR PRADESH,3152,MAHARAJGANJ,2023-09-01,4700872,221.408282160602,34,427,8839.894260023,10335,0,45663,4700876,1074846,90374,25456,2105,154.63949,19402.662548123,136714,164167,277332,399420,2216,343184,498382,55998,10408.1287981,2318080,49,29.23,26.93,100.07,
376,2023-2024,Sep,31,UTTAR PRADESH,3160,GHAZIPUR,2023-09-01,6103753,220.007897525936,36,243,5519.796414528,7793,2,52094,6094225,1390142,112858,58148,3896,196.6526,19124.225307528,168695,196484,323496,427431,893,406713,530088,59887,13407.776293,2796443,57,38.51,27.53,99.86,
377,2023-2024,Sep,31,UTTAR PRADESH,3168,KANNAUJ,2023-09-01,1919207,211.1394802801,36,161,1108.587189264,3139,4,22598,1919457,556839,44819,77,3,79.45196,5240.770683264,53267,59305,101919,128451,750,127017,165025,25737,4052.731534,499577,44,38.07,20.33,101.35,
378,2023-2024,Sep,31,UTTAR PRADESH,3171,CHANDAULI,2023-09-01,3631877,224.867623479981,43,204,3458.242909464,8630,7,24372,3631945,1013582,68517,19590,1058,143.22104,11768.532357064,83536,110129,147054,218605,1583,173230,271043,33002,8167.0684076,1430417,41,50.03,19.64,108.75,
379,2023-2024,Sep,31,UTTAR PRADESH,3173,SANT RAVIDAS NAGAR,2023-09-01,1378414,223.011724055865,39,42,1468.132172901,2194,13,22029,1378192,466824,43394,4076,357,87.2427,4628.904612901,35310,41627,81251,109377,171,103029,138396,24223,3073.52974,825247,67,21.55,27.77,100.52,
380,2023-2024,Sep,31,UTTAR PRADESH,3175,BALRAMPUR,2023-09-01,3295139,218.921941877008,35,135,4539.78151772,7419,4,23044,3295116,838179,42775,57702,3361,180.68334,11934.19679202,91914,101217,142970,170034,1173,171660,224212,30463,7213.7319343,1394297,43,49.29,13.56,101.06,
381,2023-2024,Oct,31,UTTAR PRADESH,3115,MEERUT,2023-10-01,638393,211.251626814347,42,26,472.85302641,749,6,7262,638315,276875,14610,4658,159,3.08557,1824.38941811,15141,16721,28305,33312,484,45026,60087,8011,1348.4508217,245048,22,59.56,11.86,100.81,
382,2023-2024,Oct,31,UTTAR PRADESH,3137,KANPUR NAGAR,2023-10-01,1095429,223.953680775723,33,254,471.326766655,2525,0,18044,1095443,401215,43127,11317,1128,65.30485,2989.916535955,32902,38218,73595,101787,365,106657,144023,20569,2453.2849193,339276,45,37.98,17.22,102.43,
383,2023-2024,Oct,31,UTTAR PRADESH,3138,JALAUN,2023-10-01,7249824,221.705134718793,53,656,3607.646250902,10161,1,25284,7246502,2153665,89972,537,11,125.27593,19798.789202402,135574,184094,181772,268953,5126,206858,331695,35445,16065.8670215,2743853,44,20.92,49.88,101.1,
384,2023-2024,Oct,31,UTTAR PRADESH,3140,LALITPUR,2023-10-01,3313159,215.774307516963,42,195,4509.86959471,9177,0,28608,3313027,694027,63694,209747,18988,92.50384,11751.03450181,78406,111603,148294,246559,3445,177923,291903,37785,7148.6610671,1441273,66,28.66,22.77,100.54,
385,2023-2024,Oct,31,UTTAR PRADESH,3149,AYODHYA,2023-10-01,2735687,225.54547533354,38,102,5231.48484447401,9023,0,24307,2735658,976045,93296,3780,361,123.63534,11525.273024074,71611,80102,176921,242759,1467,225875,302651,33330,6170.1528396,1306047,39,30.63,25.85,100.42,
156,2023-2024,May,31,UTTAR PRADESH,3110,MORADABAD,2023-05-01,779629,133.421490639679,19,99,0,1072,99,17281,772997,148028,38564,560,130,14.9665,1046.31062,39168,44678,132442,178297,1,173601,270114,18353,1031.34412,222626,24,45.06,12.73,100.8,
157,2023-2024,May,31,UTTAR PRADESH,3116,GHAZIABAD,2023-05-01,1,234.80487804878,8,0,0,0,143,29,41,0,9,0,0,0,0.09627,5,5,34,43,0,14786,24824,29,0.09627,0,24,100,0,100,
158,2023-2024,May,31,UTTAR PRADESH,3118,ALIGARH,2023-05-01,624118,150.418613964026,15,101,0,959,103,24867,624118,150863,44709,728,239,21.95961,960.7492551,40967,44606,145274,175587,0,179918,266405,25826,938.7896451,171583,22,33.37,23.6,100.05,
159,2023-2024,May,31,UTTAR PRADESH,3124,BUDAUN,2023-05-01,589912,154.771134524189,20,107,0,387,118,37462,589604,130899,41278,424,178,15.33756,927.87436,28101,31121,162022,194915,0,209454,273179,37849,912.5368,214766,47,23.44,4.12,99.85,
160,2023-2024,May,31,UTTAR PRADESH,3125,BAREILLY,2023-05-01,851074,149.677135948225,17,523,0,944,48,34915,851074,170278,68014,528,164,12.98728,1286.850468,49123,57297,214763,300122,3,258520,370317,35859,1273.863188,240404,38,35.3,14.15,101.7,
161,2023-2024,May,31,UTTAR PRADESH,3126,PILIBHIT,2023-05-01,832178,167.989656900327,20,248,0,1100,29,30079,832178,113310,48261,2110,610,32.15513,1430.128097,40979,47319,171093,255402,2,210898,331076,31179,1397.972967,397742,52,10.54,13.05,100.18,
162,2023-2024,May,31,UTTAR PRADESH,3129,SITAPUR,2023-05-01,2511653,198.65504130119,25,469,0,8102,47,78199,2511671,772786,246315,1720,380,96.53139,5086.0924524,99826,121334,414665,597526,16,552154,900903,86301,4989.5610624,922343,61,23.29,17.68,102.17,
163,2023-2024,May,31,UTTAR PRADESH,3130,HARDOI,2023-05-01,1730473,164.058348439993,23,152,0,4250,79,60437,1730473,581854,120537,2403,457,70.24874,2909.234164,73307,79949,281404,339182,0,383528,554319,64687,2838.985424,573795,46,19.38,9.92,103.49,
164,2023-2024,May,31,UTTAR PRADESH,3135,ETAWAH,2023-05-01,409470,167.938933320307,19,50,0,989,19,17314,409420,133278,45886,542,146,3.55655,691.1321308,21523,23354,101556,123823,0,123500,198926,18303,687.5755808,122539,33,22.78,27.05,100.08,
165,2023-2024,May,31,UTTAR PRADESH,3143,FATEHPUR,2023-05-01,1013427,185.021418668561,24,182,0,2907,26,45890,1013415,293014,90728,653,90,62.26275,1937.29756,41326,44980,182055,228187,2,240036,332855,48797,1875.03481,543020,67,15.54,5.54,100.97,
166,2023-2024,May,31,UTTAR PRADESH,3147,GONDA,2023-05-01,1251770,155.363605782212,24,72,0,2492,129,41225,1251770,307704,63222,915,222,2.85683,1947.6518381,51195,54802,206028,236975,3,297489,442510,43717,1944.7950081,619820,51,20.15,23.05,100.28,
167,2023-2024,May,31,UTTAR PRADESH,3149,AYODHYA,2023-05-01,865162,171.1080878185,20,55,0,1531,13,28594,865148,297884,93033,1152,359,24.70584,1505.0440396,42647,46080,176095,241840,1,224768,318981,30125,1480.3381996,433403,38,23.64,19.75,99.99,
168,2023-2024,May,31,UTTAR PRADESH,3150,SULTANPUR,2023-05-01,1929910,164.820713592305,28,163,0,1222,19,51605,1943813,474653,73939,4809,433,27.67264,3231.4790975,68841,73683,216881,254385,12,268401,330139,52827,3203.8064575,1059106,62,17.66,20.15,101.82,
169,2023-2024,May,31,UTTAR PRADESH,3173,SANT RAVIDAS NAGAR,2023-05-01,638338,180.559289905975,27,26,0,290,29,22860,638338,207354,43220,1479,353,28.2541,1180.83266,23608,27311,80758,108801,0,102252,173582,23150,1152.57856,397462,66,16.42,24.71,100.28,
